Reference Number,Origin City ,Origin State,Origin Zip,Origin Country,Destination City,Destination State,Destination Zip,Destination Country,Pickup Date,Freight Class,Weight,Hazardous,Scac
SPR2990717,BALDWIN PARK,CA,91706,USA,ORLANDO,FL,32804,USA,9/1/2011,60,820,FALSE,
DEN2990769,SANTA FE SPRING,CA,90670,USA,Gap,PA,17527,USA,9/1/2011,100,320,FALSE,
BNS2886650,ONTARIO,CA,91758,USA,SAN ANTONIO,TX,78207,USA,9/1/2011,70,280,FALSE,
AEA2886659,Carson,CA,90746,USA,North Mankato,MN,56003,USA,9/1/2011,150,1006,FALSE,
MMM2990805,GARDEN GROVE,CA,92841,USA,WARREN,PA,16365,USA,9/1/2011,100,1020,FALSE,
DEN2990840,SANTA FE SPRING,CA,90670,USA,MILWAUKEE,WI,53209,USA,9/1/2011,100,1648,FALSE,
AEA2886718,Chatsworth,CA,91311,USA,North Mankato,MN,56003,USA,9/1/2011,125,3187,FALSE,
AEA2886760,Los Angeles,CA,90033,USA,North Mankato,MN,56003,USA,9/1/2011,150,2017,FALSE,
AEA2886787,City of Industry,CA,91748,USA,North Mankato,MN,56003,USA,9/1/2011,125,460,FALSE,
KAS2990937,Anaheim,CA,92806,USA,Tampa,FL,33615,USA,9/1/2011,100,1350,FALSE,
KAS2990997,Corona,CA,92879,USA,NORTH OLMSTED,OH,44070,USA,9/1/2011,70,610,FALSE,
LBC2991160,Carson,CA,90746,USA,PISCATAWAY,NJ,08854,USA,9/1/2011,100,311,FALSE,
SEA2991180,Anaheim,CA,92806,USA,SAN ANTONIO,TX,78209-2816,USA,9/1/2011,100,332,FALSE,
DNVSR2991237,Anaheim,CA,92801,USA,Houston,TX,77041,USA,9/1/2011,70,240,FALSE,
AEA2887265,Los Angeles,CA,90021,USA,Jacksonville,FL,32209,USA,9/1/2011,70,480,FALSE,
KAS2991380,Anaheim,CA,92807,USA,Wauseon,OH,43567,USA,9/1/2011,85,620,FALSE,
KAS2991394,SAN DIEGO,CA,92111,USA,WELLSVILLE,NY,14895,USA,9/1/2011,125,1200,FALSE,
KAS2991423,Santa Ana,CA,92704,USA,BAXTER,MN,56425,USA,9/1/2011,55,217,FALSE,
FAR2991431,NATIONAL CITY,CA,91950,USA,Eagan,MN,55121,USA,9/1/2011,92.5,1995,FALSE,
KAS2991432,City of Industry,CA,91744,USA,HOUSTON,TX,77015,USA,9/1/2011,60,2669,FALSE,
KAS2991443,Placentia,CA,92870,USA,Lincoln,NE,68528,USA,9/1/2011,70,340,FALSE,
NSH2991464,CHATSWORTH,CA,91311,USA,Farmingdale,NJ,07727,USA,9/1/2011,85,285,FALSE,
KAS2991490,City of Industry,CA,91744,USA,HOUSTON,TX,77090,USA,9/1/2011,60,3079,FALSE,
LAC2991503,LOS ANGELES,CA,90021,USA,MIAMI,FL,33166,USA,9/1/2011,70,370,FALSE,
MSN2991528,San Diego,CA,92111,USA,Middleton,WI,53562,USA,9/1/2011,85,497,FALSE,
NSH2991598,SYLMAR,CA,91342,USA,Farmingdale,NJ,07727,USA,9/1/2011,85,330,FALSE,
CRC2991654,FONTANA,CA,92336,USA,BUTLER,PA,16001,USA,9/1/2011,85,467,FALSE,
KAS2991662,City of Industry,CA,91744,USA,DALLAS,TX,75237,USA,9/1/2011,60,6489,FALSE,
FAR2991758,FALLBROOK,CA,92028,USA,LINCOLN,NE,68528,USA,9/1/2011,77.5,539,FALSE,
KAS2991809,Santa Ana,CA,92704,USA,NEWARK,DE,19713,USA,9/1/2011,55,460,FALSE,
MIN2991824,Ontario,CA,91761,USA,Harrison,NJ,07029,USA,9/1/2011,150,1955,FALSE,
KAS2991831,City of Industry,CA,91744,USA,BEAUMONT,TX,77701,USA,9/1/2011,60,2696,FALSE,
SFW2887918,El Monte,CA,91731,USA,Trenton,IL,62293,USA,9/1/2011,100,397,FALSE,
PSD2991909,El Monte,CA,91731,USA,Berwin,IL,60402,USA,9/1/2011,125,300,FALSE,
LBC2991925,Gardena,CA,90249,USA,MILLINGTON,TN,38053,USA,9/1/2011,150,113,FALSE,
PDN2991933,Pasadena,CA,91105,USA,Buffalo,MN,55313,USA,9/1/2011,150,200,FALSE,
KAS2991945,Santa Fe Springs,CA,90670,USA,Vassalboro,ME,04989,USA,9/1/2011,85,760,FALSE,
SFW2888030,El Monte,CA,91731,USA,Houston,TX,77007,USA,9/1/2011,100,417,FALSE,
KAS2991995,Santa Ana,CA,92704,USA,CHAMPAIGN,IL,61820,USA,9/1/2011,55,702,FALSE,
KAS2992025,Anaheim,CA,92801,USA,Champlain,NY,12919,USA,9/1/2011,92.5,350,FALSE,
KAS2992073,Santa Ana,CA,92704,USA,COBDEN,IL,62920,USA,9/1/2011,55,1152,FALSE,
MMM2992091,GARDENA,CA,90249,USA,Athens,GA,30607,USA,9/1/2011,85,424,FALSE,
PDN2992134,Los Angeles,CA,90039,USA,Panama City,FL,32401,USA,9/1/2011,70,240,FALSE,
LBC2992184,Compton,CA,90220,USA,LEXINGTON,KY,40505,USA,9/1/2011,70,425,FALSE,
FAR2992211,CHINO,CA,91710,USA,LINCOLN,NE,68528,USA,9/1/2011,77.5,2805,FALSE,
MG2992251,Irvine,CA,92614,USA,Delray Beach,FL,33444,USA,9/1/2011,50,1440,FALSE,
ILS2992252,Riverside,CA,92518,USA,Richardson,TX,75081,USA,9/1/2011,50,794,FALSE,
KAS2992274,Irvine,CA,92614,USA,Laredo,TX,78045,USA,9/1/2011,85,1306,FALSE,
KAS2992284,Chula Vista,CA,91911,USA,Tullahoma,TN,37388,USA,9/1/2011,77.5,450,FALSE,
MMM2992292,Carson,CA,90745,USA,NEW BERLIN,WI,53151,USA,9/1/2011,65,841,FALSE,
PSD2992329,Azusa,CA,91702,USA,LIBERTY,NC,27298,USA,9/1/2011,250,1415,FALSE,
LBC2992371,La Mirada,CA,90638,USA,WICHITA,KS,67202,USA,9/1/2011,125,360,FALSE,
KAS2992395,Rancho Santa Margarita,CA,92688,USA,HOUSTON,TX,77055,USA,9/1/2011,55,3246,FALSE,
MER2992415,Torrance,CA,90501,USA,Cherry Hill,NJ,08003,USA,9/1/2011,77.5,850,FALSE,
SAC2992428,Vernon,CA,90058,USA,Midland,TX,79701,USA,9/1/2011,70,550,FALSE,
KAS2992430,Lake Elsinore,CA,92530,USA,Dallas,TX,75229,USA,9/1/2011,50,2500,FALSE,
SBC2992437,West Lake Village,CA,91361,USA,JAMESTON,NY,13078,USA,9/1/2011,200,175,FALSE,
AZN2888551,Chatsworth,CA,91311,USA,Kansas City,MO,64130,USA,9/1/2011,100,577,FALSE,
KASQ5399923,Ontario,CA,91761,USA,SAN ANTONIO,TX,78242,USA,9/1/2011,60,530,FALSE,
KAS2992462,North Hollywood,CA,91605,USA,Brentwood,NY,11717,USA,9/1/2011,92.5,957,FALSE,
SEA2992484,Anaheim,CA,92806,USA,Naples,FL,34120,USA,9/1/2011,150,236,FALSE,
LBC2992494,Gardena,CA,90247,USA,PLAINWELL,MI,49080,USA,9/1/2011,70,915,FALSE,
POR2992521,FOOTHILL RANCH,CA,92610,USA,Dunnell,MN,56127,USA,9/1/2011,70,265,FALSE,
MER2992535,Torrance,CA,90501,USA,Arlington,TX,76010,USA,9/1/2011,77.5,125,FALSE,
DNVSR2992539,Fountain Valley,CA,92708,USA,Manhattan,KS,66502,USA,9/1/2011,85,670,FALSE,
DNVSR2992555,Fountain Valley,CA,92708,USA,Bismarck,ND,58504,USA,9/1/2011,85,400,FALSE,
MMM2992579,Vernon,CA,90058,USA,New Berlin,WI,53151,USA,9/1/2011,150,480,FALSE,
KAS2992630,North Hollywood,CA,91605,USA,"Sunrise,",FL,33323,USA,9/1/2011,92.5,700,FALSE,
AMS2888837,LYNWOOD,CA,90262,USA,FAYETTEVILLE,GA,30214,USA,9/1/2011,150,350,FALSE,
KAS2992662,Anaheim,CA,92806,USA,FITZGERALD,GA,31750,USA,9/1/2011,100,410,FALSE,
KAS2992665,Riverside,CA,92504,USA,GEORGETOWN,TX,78628,USA,9/1/2011,150,350,FALSE,
LBC2992673,Commerce,CA,90040,USA,PADUCAH,KY,42003,USA,9/1/2011,55,445,FALSE,
MER2992675,LOS ANGELES,CA,90033,USA,Bensenville,IL,60106,USA,9/1/2011,100,1482,FALSE,
KAS2992749,Anaheim,CA,92806,USA,Laredo,TX,78045,USA,9/1/2011,77.5,2190,FALSE,
CAN2888938,Industry,CA,91746,USA,Lima,OH,45801,USA,9/1/2011,55,3000,FALSE,
10Y2992768,COMPTON,CA,90220,USA,New Bedford,MA,02745,USA,9/1/2011,125,640,FALSE,
ULRD2992796,"Irvine,",CA,92614,USA,LAREDO,TX,78045,USA,9/1/2011,60,476,FALSE,
KAS2992810,La Puente,CA,91746,USA,EAU CLAIRE,WI,54703-9604,USA,9/1/2011,70,650,FALSE,
KAS2992832,City of Industry,CA,91744,USA,HOUSTON,TX,77099,USA,9/1/2011,60,2085,FALSE,
LAC2992846,CULVER CITY,CA,90230,USA,LOUISVILLE,KY,40258,USA,9/1/2011,125,2880,FALSE,
LAC2992851,LOS ANGELES,CA,90015,USA,LAKEVILLE,MA,02347,USA,9/1/2011,100,760,FALSE,
LAC2992853,CULVER CITY,CA,90230,USA,LOUISVILLE,KY,40258,USA,9/1/2011,125,248,FALSE,
KAS2992869,El Cajon,CA,92020,USA,"Lake City,",FL,32025,USA,9/1/2011,70,745,FALSE,
KAS2992875,Walnut,CA,91789,USA,Cosby,MO,64436,USA,9/1/2011,60,715,FALSE,
SSI2992884,Placentia,CA,92870,USA,Brooklyn,NY,11219,USA,9/1/2011,55,337,FALSE,
LAC2992886,COMMERCE,CA,90040,USA,EAST PROVIDENCE,RI,02914,USA,9/1/2011,150,825,FALSE,
KAS2992898,Fontana,CA,92337,USA,SARASOTA,FL,34243,USA,9/1/2011,70,824,FALSE,
AIS2992903,Walnut,CA,91789,USA,HARRISON,OH,45030,USA,9/1/2011,92.5,290,FALSE,
LAC2992907,COMMERCE,CA,90040,USA,LOVELAND,OH,45140,USA,9/1/2011,60,335,FALSE,
PSD2992934,Arcadia,CA,91006,USA,Albany,NY,12206,USA,9/1/2011,150,200,FALSE,
RIC2992938,Fontana,CA,92337,USA,Dixon,IL,61021,USA,9/1/2011,85,300,FALSE,
PSD2992940,Commerce,CA,90040,USA,TAMPA,FL,33634,USA,9/1/2011,150,829,FALSE,
PDN2992947,Los Angeles,CA,90039,USA,HOUSTON,TX,77041,USA,9/1/2011,70,230,FALSE,
SBC2992949,LOS ANGELES,CA,90021,USA,ATHENS,TN,37371,USA,9/1/2011,70,2501,FALSE,
PDN2992951,Los Angeles,CA,90039,USA,JACKSONVILLE BEACH,FL,32250,USA,9/1/2011,70,570,FALSE,
FVD2992956,Ventura,CA,93001,USA,Exeter,PA,18643,USA,9/1/2011,50,225,FALSE,
KAS2992962,Rancho Santa Margarita,CA,92688,USA,Galion,OH,44833,USA,9/1/2011,70,1187,FALSE,
KAS2992971,Fountain Valley,CA,92708,USA,Burlington,NC,27215,USA,9/1/2011,125,1125,FALSE,
ELZ2992994,City of Industry,CA,91745,USA,Houston,TX,77063,USA,9/1/2011,70,432,FALSE,
KAS2993008,Rancho Santa Margarita,CA,92688,USA,Norfolk,VA,23511,USA,9/1/2011,200,405,FALSE,
DEN2993022,Compton,CA,90220,USA,Irving,TX,75038,USA,9/1/2011,125,2890,FALSE,
SEA2993024,Anaheim,CA,92806,USA,PIQUA,OH,45356,USA,9/1/2011,100,795,FALSE,
KAS2993036,Rancho Santa Margarita,CA,92688,USA,Fredericksburg,VA,22406,USA,9/1/2011,150,945,FALSE,
ILS2993063,Long Beach,CA,90810,USA,MIAMI,FL,33167,USA,9/1/2011,85,315,FALSE,
ROS2889244,Chino,CA,91710,USA,FairPort,NY,14450,USA,9/1/2011,250,788,FALSE,
KAS2993099,Rancho Santa Margarita,CA,92688,USA,Yorktown,VA,23690,USA,9/1/2011,250,301,FALSE,
KAS2993101,City of Industry,CA,91745,USA,Warminster,PA,18974,USA,9/1/2011,100,621,FALSE,
HOU2993115,LAKE ELSINORE,CA,92530,USA,West Palm Beach,FL,33413,USA,9/1/2011,50,250,FALSE,
SGA2993128,Vernon,CA,90058,USA,HOUSTON,TX,77021,USA,9/1/2011,150,805,FALSE,
ROS2889330,Chino,CA,91710,USA,FAIRPORT,NY,14450,USA,9/1/2011,250,788,FALSE,
KAS2993204,Pico Rivera,CA,90660,USA,DALLAS,TX,75235-1084,USA,9/1/2011,60,500,FALSE,
FAR2993378,Carson,CA,90745,USA,HALETHORPE,MD,21227,USA,9/1/2011,125,2576,FALSE,
LAC2995304,LOS ANGELES,CA,90021,USA,GALENA,OH,43021,USA,9/1/2011,70,498,FALSE,
LAC2995480,LOS ANGELES,CA,90001,USA,HIDALGO,TX,78557,USA,9/1/2011,250,780,FALSE,
LAC2995491,WALNUT,CA,91789,USA,MEDLEY,FL,33178,USA,9/1/2011,50,1035,FALSE,
KAS2992880,Los Angeles,CA,90033,USA,WICHITA,KS,67208,USA,9/1/2011,125,650,FALSE,
MJC2993083,San Fernando,CA,91340,USA,SAN ANTONIO,TX,78217,USA,9/1/2011,50,1543,FALSE,
10Y2990125,Los Angeles,CA,90007,USA,Bolingbrook,IL,60440,USA,9/1/2011,85,350,FALSE,
LBC2990303,torrance,CA,90502,USA,Pleasanton,TX,78064,USA,9/1/2011,100,4969,FALSE,
MIN2991156,OXNARD,CA,93030,USA,Bloomington,MN,55425,USA,9/1/2011,85,525,FALSE,
JNW2887115,Cypress,CA,90630,USA,Mahwah,NJ,07430,USA,9/1/2011,60,680,FALSE,
KAS2992028,LOS ANGELES,CA,90065,USA,Brooklyn,NY,11210,USA,9/1/2011,175,650,FALSE,
10Y2992588,El Monte,CA,91731,USA,Rochester,NY,14623,USA,9/1/2011,85,2000,FALSE,
KAS2992827,San Diego,CA,92121-2449,USA,LOUISVILLE,KY,40241,USA,9/1/2011,125,500,FALSE,
KAS2992930,La Mirada,CA,90638,USA,Herndon,VA,20171,USA,9/1/2011,85,253,FALSE,
WES2983636,Fullerton,CA,92832,USA,Rittman,OH,44270,USA,9/1/2011,70,1480,FALSE,
PDN2990168,Pasadena,CA,91103,USA,New York,NY,10032,USA,9/1/2011,65,353,FALSE,
KAS2990197,El Cajon,CA,92020,USA,CAPITOL HTS,MD,20790-9991,USA,9/1/2011,55,1120,FALSE,
SBC2990203,Sylmar,CA,91342,USA,Muncie,IN,47306,USA,9/1/2011,70,228,FALSE,
PDN2990247,Pasadena,CA,91103,USA,Clairton,PA,15025,USA,9/1/2011,65,319,FALSE,
10Y2990283,REDONDO BEACH,CA,90278,USA,Bolingbrook,IL,60440,USA,9/1/2011,70,603,FALSE,
LAC2991286,Gardena,CA,90248,USA,Orlando,FL,32806,USA,9/1/2011,125,694,FALSE,
KAS2991523,Placentia,CA,92870,USA,Tyler,TX,75706,USA,9/1/2011,70,250,FALSE,
LBC2991536,Compton,CA,90220,USA,St Louis,MO,63110,USA,9/1/2011,85,1200,FALSE,
LBC2991540,Compton,CA,90220,USA,Maple Grove,MN,55311,USA,9/1/2011,85,1140,FALSE,
SSI2991767,Anaheim,CA,92806,USA,Central City,KY,42330,USA,9/1/2011,85,584,FALSE,
SBC2992064,Sylmar,CA,91342,USA,East Setauket,NY,11733,USA,9/1/2011,70,882,FALSE,
KAS2991604,Carlsbad,CA,92008,USA,CANTON,GA,30115,USA,9/1/2011,100,867,FALSE,
KAS2991617,Carlsbad,CA,92008,USA,APPLETON,WI,54913,USA,9/1/2011,100,686,FALSE,
KAS2992100,Rancho Cucamonga,CA,91730,USA,Washington,DC,20002,USA,9/1/2011,92.5,985,FALSE,
KAS2992137,Rancho Cucamonga,CA,91730,USA,Miami,FL,33172,USA,9/1/2011,125,243,FALSE,
KAS2992157,Rancho Cucamonga,CA,91730,USA,Huntsville,AL,35801,USA,9/1/2011,85,595,FALSE,
HCG2884980,City of Industry,CA,91789,USA,RAINSVILLE,AL,35986,USA,9/1/2011,70,464,FALSE,
SSI2991067,GARDENA,CA,90248,USA,Bloomington,IN,47403,USA,9/1/2011,125,1525,FALSE,
SAC2992029,Lake Forest,CA,92630,USA,Indianapolis,IN,46225,USA,9/1/2011,85,529,FALSE,
SSI2993053,Bloomington,CA,92316,USA,Sarasota,FL,34233,USA,9/1/2011,55,630,FALSE,
ULRD2991777,SANTA FE SPRINGS,CA,90670,USA,Laredo,TX,78041,USA,9/1/2011,77.5,140,FALSE,
KAS2992177,IRVINE,CA,92614-5617,USA,MIAMI,FL,33014,USA,9/1/2011,50,3708,FALSE,
LBC2989441,Vernon,CA,90058,USA,HOUSTON,TX,77007,USA,9/1/2011,150,840,FALSE,
LBC2989466,Vernon,CA,90058,USA,HOUSTON,TX,77021,USA,9/1/2011,60,8001,FALSE,
SGA2989651,Westlake Village,CA,91362,USA,MIAMI,FL,33166,USA,9/1/2011,92.5,1715,FALSE,
KAS2990171,OXNARD,CA,93030,USA,TETERBORO,NJ,07608,USA,9/1/2011,125,200,FALSE,
SFWQ5396111,ANAHEIM,CA,92806,USA,COLLEGE PARK,GA,30349,USA,9/1/2011,150,470,FALSE,
KAS2991622,LOS ANGELES,CA,90013,USA,FREDERICKSBURG,OH,44627,USA,9/1/2011,85,1832,FALSE,
KAS2887877,COVINA,CA,91722,USA,SAN MARCOS,TX,78666,USA,9/1/2011,92.5,366,FALSE,
KAS2991897,Cerritos,CA,90703,USA,Quitman,TX,75783,USA,9/1/2011,125,734,FALSE,
KAS2992276,Ontario,CA,91761,USA,Miami,FL,33172,USA,9/1/2011,150,587,FALSE,
KAS2992454,Murrieta,CA,92563,USA,OMAHA,NE,68110,USA,9/1/2011,92.5,197,FALSE,
KAS2992476,Murrieta,CA,92563,USA,HOUSTON,TX,77057,USA,9/1/2011,92.5,197,FALSE,
LBC2992650,Vernon,CA,90058,USA,CHICAGO,IL,60632,USA,9/1/2011,150,3180,FALSE,
KAS2989337,San Diego,CA,92154,USA,SARASOTA,FL,34230,USA,9/1/2011,55,6600,FALSE,
LBC2992307,Gardena,CA,90248,USA,Fort Worth,TX,76102,USA,9/1/2011,125,550,FALSE,
SBC2992819,Camarillo,CA,93012-8630,USA,Waterbury,VT,05676,USA,9/1/2011,77.5,350,FALSE,
NSH2990190,Temecula,CA,92590,USA,Hendersonville,NC,28791,USA,9/1/2011,70,194,FALSE,
NSH2990268,Temecula,CA,92590,USA,Greenwood,IN,46143,USA,9/1/2011,70,1376,FALSE,
SBC2991671,Newbury Park,CA,91320-6020,USA,Ocala,FL,34474-9320,USA,9/1/2011,60,879,FALSE,
PSD2991706,MONTEREY PARK,CA,91754,USA,WHITE BEAR LAKE,MN,55110,USA,9/1/2011,85,200,FALSE,
KAS2888246,Corona,CA,92880,USA,Miami,FL,33178,USA,9/1/2011,70,200,FALSE,
SGA2992283,Anaheim,CA,92805,USA,Rockford,IL,61108,USA,9/1/2011,100,650,FALSE,
KAS2888612,Corona,CA,92880,USA,Chatham,NY,12037,USA,9/1/2011,100,130,FALSE,
KAS2992531,COMPTON,CA,90220,USA,NORTH TRURO,MA,02652,USA,9/1/2011,70,228,FALSE,
SBC2993028,GOLETA,CA,93117,USA,DORAL,FL,33172,USA,9/1/2011,50,365,FALSE,
SBC2993124,GOLETA,CA,93117,USA,AUSTIN,TX,78758,USA,9/1/2011,85,550,FALSE,
PSD2992878,Baldwin Park,CA,91706,USA,Dlazhe,KS,66061,USA,9/1/2011,150,350,FALSE,
FAR2991668,ONTARIO,CA,91761,USA,Mankato,MN,56001,USA,9/1/2011,70,760,FALSE,
LBC2992736,Torrance,CA,90502,USA,Ft Lauderdale,FL,33309,USA,9/1/2011,55,935,FALSE,
SBL2992795,Tustin,CA,92780,USA,BALTIMORE,MD,21237,USA,9/1/2011,55,1100,FALSE,
MG2990016,VENTURA,CA,93003,USA,LEXINGTON,NC,27295-8524,USA,9/1/2011,60,5200,FALSE,
GRR2991939,Rancho Dominguez,CA,90220,USA,Zeeland,MI,49464,USA,9/1/2011,100,1030,FALSE,
KAS2992072,San Clemente,CA,92672,USA,Sequine,TX,78155,USA,9/1/2011,92.5,168,FALSE,
SSI2992926,Barstow,CA,92311,USA,Harvey Lake,PA,18618,USA,9/1/2011,55,1125,FALSE,
KAS2993064,Industry,CA,91744,USA,LAREDO,TX,78045,USA,9/1/2011,92.5,240,FALSE,
KAS2993264,San Clemente,CA,92672,USA,Perrysburg,OH,43551,USA,9/1/2011,92.5,174,FALSE,
KAS2993265,San Clemente,CA,92672,USA,Stewart,FL,34997,USA,9/1/2011,92.5,188,FALSE,
KAS2993136,Santee,CA,92071-4448,USA,Oakwood Village,OH,44146,USA,9/1/2011,65,390,FALSE,
SFE2993020,Valencia,CA,91355,USA,Carrolton,GA,30117,USA,9/1/2011,70,490,FALSE,
KAS2993073,Brea,CA,92821-3106,USA,Minneapolis,MN,55416,USA,9/1/2011,60,470,FALSE,
FVD2991609,Santa Clarita,CA,91350,USA,Streetsboro,OH,44241,USA,9/2/2011,150,710,FALSE,
RIC2992447,Vista,CA,92081,USA,222 Merchandise Mart Plaza,IL,60654,USA,9/2/2011,125,5081,FALSE,
SBC2995390,CAMARILLO,CA,93012,USA,Lexington Park,MD,20653,USA,9/2/2011,92.5,273,FALSE,
SFW2891721,Camarillo,CA,93012,USA,Elkridge,MD,21075,USA,9/2/2011,125,750,FALSE,
SBC2995638,Oxnard,CA,93030,USA,Longview,TX,75602,USA,9/2/2011,70,519,FALSE,
SBC2995644,Oxnard,CA,93030,USA,Chicago,IL,60630,USA,9/2/2011,70,1036,FALSE,
SAC3011181,Rancho Cucamonga,CA,91730,USA,CARROLLTON,GA,30117,USA,9/2/2011,70,370,FALSE,
KAS2994305,South El Monte,CA,91733,USA,SIKESTON,MO,63801,USA,9/2/2011,60,385,FALSE,
FVD2991450,Santa Clarita,CA,91350,USA,Streetsboro,OH,44241,USA,9/2/2011,55,700,FALSE,
SEA2959453,Rancho Dominguez,CA,90220,USA,FAYETTEVILLE,NC,28301,USA,9/2/2011,100,990,FALSE,
10Y2988810,City of Industry,CA,91744,USA,Bolingbrook,IL,60440,USA,9/2/2011,150,370,FALSE,
SAC2990246,Rancho Cucamonga,CA,91730,USA,HOLLAND,MI,49424,USA,9/2/2011,70,704,FALSE,
LBC2991055,Torrance,CA,90501,USA,Topeka,KS,66409,USA,9/2/2011,70,8100,FALSE,
SBC2991074,MOORPARK,CA,93021,USA,MANCHESTER,NH,03103,USA,9/2/2011,150,241,FALSE,
SBC2991121,MOORPARK,CA,93021,USA,MONTGOMERY,NY,12549,USA,9/2/2011,125,240,FALSE,
LBC2991493,LOS ANGELES,CA,90025,USA,ENGLEWOOD CLIFFS,NJ,07632,USA,9/2/2011,70,550,FALSE,
GRR2991701,LA PUENTE,CA,91746,USA,Grand Rapids,MI,49505-6011,USA,9/2/2011,85,580,FALSE,
10Y2992144,LOS ANGELES,CA,90058,USA,ROCK ISLAND,IL,61201,USA,9/2/2011,85,1500,FALSE,
KAS2992271,TORRANCE,CA,90501,USA,ORCHARD PARK,NY,14127,USA,9/2/2011,77.5,2180,FALSE,
SEA2992399,Anaheim,CA,92806,USA,Naples,FL,34120,USA,9/2/2011,150,236,FALSE,
SBC2992632,SIMI VALLEY,CA,93065,USA,Lafayette,IN,47905,USA,9/2/2011,250,2650,FALSE,
KAS2992783,Industry,CA,91748,USA,WINDSOR MILL,MD,21244,USA,9/2/2011,70,728,FALSE,
10Y2992919,Compton,CA,90220,USA,New Bedford,MA,02745,USA,9/2/2011,92.5,1125,FALSE,
MKE2993025,Pacoima,CA,91331,USA,Rock Ford,IL,61101,USA,9/2/2011,70,429,FALSE,
KAS2993203,Anaheim,CA,92806,USA,MIAMI,FL,33177,USA,9/2/2011,100,200,FALSE,
10Y2993217,Commerce,CA,90040,USA,Bettendorf,IA,52722,USA,9/2/2011,100,642,FALSE,
SAC2993235,Torrance,CA,90502,USA,BLUE SPRINGS,MO,64015,USA,9/2/2011,65,4620,FALSE,
LAS2993239,Santa Ana,CA,92707,USA,Alvin,TX,77511,USA,9/2/2011,70,2744,FALSE,
